Date,Open,High,Low,Close,Volume
2020-01-01,149.59824617122018,154.040542429157,146.11927090103174,150.97697465441715,7622266
2020-01-02,150.38663100920917,150.40026826122434,148.8461182645327,149.3033421763596,1053010
2020-01-03,150.99701939329654,152.0944753878434,146.71264778371787,151.82892117077472,6805333
2020-01-06,153.61506381218035,155.83758968834806,148.24301355949981,151.5665172344298,6516552
2020-01-07,152.76971310450537,154.71496171252417,148.47176011970106,152.98778390347428,1907272
2020-01-08,152.0358509559311,152.08744529301796,151.32740234460033,153.16671098097095,5074411
2020-01-09,154.45785702938392,157.66256394234273,150.18847649568,154.50152725581643,1536364
2020-01-10,155.79773300835384,158.27157332578824,149.6824051364337,154.65884210757463,1903057
2020-01-13,154.49586137975345,156.68014688836942,150.5253486795658,153.7067501304719,2750652
2020-01-14,154.49096373683096,154.81292774586893,152.82252687144842,153.90419154065273,3619909
2020-01-15,152.70535719182496,157.84976867183804,151.51429683702094,155.4882281149922,1663478
2020-01-16,152.48635000752947,156.47003160926167,150.32283845384958,152.8519684504372,5139524
2020-01-17,153.4882012378162,157.70322582796067,151.24057389852834,152.75635986860087,1990993
2020-01-20,151.2706334953538,155.6388806594923,151.28038098885824,152.54551463254592,7394544
2020-01-21,149.9682565620146,154.17023822478924,148.59490764173995,149.35909106181356,2588049
2020-01-22,149.64959026065617,152.1829806677822,145.5809601829909,148.64287683829295,1959296
2020-01-23,149.1098019697814,149.28173180639223,144.27301898494704,147.13650495325487,9337746
2020-01-24,148.82385776996082,152.25014391491837,148.20785638444207,148.4114467085594,8914933
2020-01-27,148.47283411632492,151.08870139775854,143.22439871050508,147.9036174486022,1262530
2020-01-28,146.63850318597355,150.28529470715887,144.9299156819204,146.81712049882412,4631097
2020-01-29,146.0642109737311,148.88908257033864,144.72810884643135,148.99098378438444,6708824
2020-01-30,146.87456584577967,148.7887772390999,144.05477550981504,148.34079916326422,3042361
2020-01-31,147.73734188856474,152.33347703038302,143.82169827109695,147.6905572247332,1217767
2020-02-03,145.2469865152318,150.20657025033327,141.72793274694325,146.25848558169318,2109970
2020-02-04,146.51222726354393,150.45344097704935,144.34770079340362,146.42245600246292,4870033
2020-02-05,147.5539719556013,149.8167977290772,141.73068885049983,147.29579128618616,6882545
2020-02-06,146.0909893975326,147.85800407578682,144.21379302865427,144.9985417453185,1187486
